LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ACM84250;6502-03-1632230P;výztuha předního nárazníku;625304M630;NISSAN | ALMERA II (N16) [04\00-12\06] | 1.5 (1497ccm\72kW\98HP) [10\02-09\06];965;DS1515A;15
ST-ACM90111-1;6502-08-8140200P;přední příčka;5320502320;TOYOTA | COROLLA combi (_E21_) [02\19-] | 1.2 (NRE210) (1197ccm\85kW\116HP) [02\19-];1433;TYS60518Q2;23
ST-ADS14560-L;5703-06-0063571P;L výztuha prahu;51778056579;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];4625;33-9618L;46
ST-ADS14560-R;5703-06-0063572P;P výztuha prahu;51778056580;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];4625;33-9618R;46
ST-ADT32101-1L;5703-04-0554571P;L lišta předních dveří;98176963XT;CITROËN | BERLINGO (ER_, EC_) [06\18-] | 1.2 PureTech 110 (1199ccm\81kW\110HP) [06\18-];6120;100.10865;147
ST-ADT32101-1R;5703-04-0554572P;P lišta předních dveří;98176962XT;CITROËN | BERLINGO (ER_, EC_) [06\18-] | 1.2 PureTech 110 (1199ccm\81kW\110HP) [06\18-];6120;100.10866;147
ST-ADT32101-L;5703-04-0554573P;L lišta zadních dveří;98176955XT;CITROËN | BERLINGO (ER_, EC_) [06\18-] | 1.2 PureTech 110 (1199ccm\81kW\110HP) [06\18-];6120;100.10869;147
ST-ADT32101-R;5703-04-0554574P;P lišta zadních dveří;98176951XT;CITROËN | BERLINGO (ER_, EC_) [06\18-] | 1.2 PureTech 110 (1199ccm\81kW\110HP) [06\18-];6120;100.10870;147
ST-ADT36104-1L;5703-04-6013575P;L lišta předních dveří;808D17135R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT3-1-FL;3
ST-ADT36104-1R;5703-04-6013576P;P lišta předních dveří;808D05230R;RENAULT | CAPTUR II (HF_) [01\20-] | 1.0 TCe LPG (HFM6) (999ccm\67kW\91HP) [01\21-];314;PX-RCT3-1-FR;3
